state,x,y
Madhya Pradesh,-141,34
Chhattisgarh,-24,4
Odisha,59,-15
West Bengal,169,38
Jharkhand,83,45
Bihar,97,94
Maharashtra,-257,-62
Telangana,-113,-86
Gujarat,-374,12
Rajasthan,-281,113
Delhi,-166,151
Haryana,-192,168
Uttar Pradesh,-75,123
Punjab,-220,207
Himachal Pradesh,-161,229
Uttarakhand,-101,188
Jammu And Kashmir,-233,261
Ladakh,-159,283
Sikkim,181,135
Assam,313,117
Arunachal Pradesh,363,161
Nagaland,375,111
Manipur,357,76
Mizoram,329,45
Tripura,291,53
Meghalaya,264,93
Karnataka,-210,-153
Andhra Pradesh,-112,-147
Goa,-268,-140
Kerala,-187,-254
Tamil Nadu,-139,-247
Lakshadweep,-308,-263
Andaman And Nicobar,351,-206
Chandigarh,-186,198
Puducherry,-82,-212
Daman Diu And Dadra Nagar Haveli,-295,-27















